,Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unnamed: 66
3095,China,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4079398906752,18.4711307876776,17.5846836703706,18.1252601684878,18.0884357039359,19.2141393015674,17.5522106198623,17.5124660177764,18.0611563169165,16.6814659250101,16.6394981921286,18.9585191657511,17.6186278990475,15.0370403322247,16.2232664186372,16.1750249753446,15.5927834152258,15.263347136776,17.7374440648538,17.8637981987375,18.6228260527723,16.7617704327503,19.9662489377563,20.2962273802567,22.6091537829535,23.926817173663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3107,China,Forest area (sq. km),AG.LND.FRST.K2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571405.9,1591265.86,1611125.82,1630985.78,1650845.74,1670705.7,1690565.66,1710425.62,1730285.58,1750145.54,1770005.5,1793615.33,1817225.16,1840834.99,1864444.82,1888054.65,1911664.48,1935274.31,1958884.14,1982493.97,2006103.8,2025471.54,2044839.28,2064207.02,2083574.76,2102942.5,2124598.67,2143394.7,2162190.4,2180986.1,2199781.8,0.0,0.0
3113,China,Arable land (% of land area),AG.LND.ARBL.ZS,0.0,10.9708531836557,10.9393402442518,10.9184377221556,10.8974290958863,10.8712213651363,10.82273175804,10.7710590257515,10.7193862934629,10.6700478529821,10.6175262873089,10.5715831803665,10.5223508440587,10.4721635701932,10.5316880112895,10.3755136773729,10.3560258533702,10.3364429031012,10.315575701244,10.3008802420878,10.2867153049228,10.3503779438665,10.8704071336185,11.4646984987273,12.1748559896527,12.8211385650638,12.8619888017299,12.8294147169079,12.9014596797554,13.0387589167578,13.2079956115174,13.320890811031,13.1104855660729,12.9400817216942,12.8761007016691,12.7573020736956,12.731638427071,12.6989849024532,12.6978442838029,12.697446393576,12.6970619754475,12.759858865325,12.80143520109,12.8211547472436,12.8408725348885,12.8669586059388,12.9030172525385,12.8966344923446,12.9226135155496,12.9429683203196,12.8778413090614,12.800416828082,12.7282023347818,12.7071931712043,12.6958930783302,12.6893569275309,12.6808167538056,12.6770178210856,12.676760346472,12.6767072944018,12.6765905798473,0.0,0.0
3115,China,Agricultural land (sq. km),AG.LND.AGRI.K2,0.0,3432480.0,3460010.0,3488540.0,3517060.0,3555090.0,3591120.0,3627150.0,3663130.0,3709280.0,3755180.0,3801650.0,3847810.0,3903880.0,3970290.0,4016370.0,4075333.333,4134286.667,4193960.0,4239605.0,4285190.0,4338180.0,4434180.0,4538310.0,4654380.0,4772440.0,4833530.0,4886610.0,4942790.0,5003880.0,5065920.0,5122710.0,5151980.0,5191060.0,5237130.0,5237140.0,5237520.0,5237442.5,5237385.0,5237347.5,5237310.0,5243228.444,5249146.889,5255055.333,5260913.778,5266822.222,5272720.667,5278619.111,5284517.556,5290386.0,5289168.0,5288851.0,5287995.0,5288015.0,5286950.0,5286334.0,5285529.0,5285121.0,5285097.0,5285092.0,5285081.0,0.0,0.0
4181,Germany,Urban population,SP.URB.TOTL,51978188.0,52609561.0,53122383.0,53664331.0,54147106.0,54659677.0,55166778.0,55468832.0,55765529.0,56259360.0,56496072.0,56645245.0,56961784.0,57186457.0,57253758.0,57085531.0,56885943.0,56801863.0,56796181.0,56865826.0,57028530.0,57229147.0,57267174.0,57114118.0,56792461.0,56485448.0,56438249.0,56695484.0,57044790.0,57469536.0,58079842.0,58625381.0,59146205.0,59647492.0,60028206.0,60378049.0,60725922.0,60986289.0,61167004.0,61376500.0,61629857.0,61902439.0,62174878.0,62376854.0,62529997.0,62660267.0,62753557.0,62833410.0,62875807.0,62877220.0,62940432.0,61940177.0,62064608.0,62242278.0,62510392.0,63062064.0,63592936.0,63861626.0,64096118.0,64294010.0,64410589.0,64513567.0,0.0
4183,Germany,"Population, total",SP.POP.TOTL,72814900.0,73377632.0,74025784.0,74714353.0,75318337.0,75963695.0,76600311.0,76951336.0,77294314.0,77909682.0,78169289.0,78312842.0,78688452.0,78936666.0,78967433.0,78673554.0,78336950.0,78159814.0,78091820.0,78126350.0,78288576.0,78407907.0,78333366.0,78128282.0,77858685.0,77684873.0,77720436.0,77839920.0,78144619.0,78751283.0,79433029.0,80013896.0,80624598.0,81156363.0,81438348.0,81678051.0,81914831.0,82034771.0,82047195.0,82100243.0,82211508.0,82349925.0,82488495.0,82534176.0,82516260.0,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,83092962.0,83160871.0,83196078.0,0.0
4188,Germany,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,26.4,25.6,24.9,24.0,23.1,22.0,20.8,19.6,18.3,17.1,16.0,15.0,14.1,13.2,12.5,11.8,11.1,10.6,10.1,9.5,9.0,8.5,8.0,7.6,7.2,6.8,6.5,6.2,5.9,5.7,5.5,5.4,5.2,5.1,5.0,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.7,3.6,3.6,0.0
4198,Germany,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.272,49.9484873,49.53953898,49.19992302,48.83088615,47.76515568,47.38274284,45.80673577,45.37060385,44.88727848,43.89921329,42.7784437033,41.6576741167,40.53690453,37.7762696867,35.0156348433,32.26,32.5003333333,32.7456666667,32.99,30.436,27.8806666667,25.326,25.0316666667,24.7373333333,24.443,24.443,24.443,24.443,0.0,0.0,0.0
4214,Germany,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128090.0,1100760.00976563,1055380.00488281,1046880.00488281,1037319.94628906,1032959.9609375,1063069.94628906,1025930.05371094,1002900.02441406,965059.997558594,957530.029296875,976270.01953125,960150.024414063,961380.004882813,944900.024414063,922929.992675781,931729.98046875,903289.978027344,906159.973144531,849690.002441406,880159.973144531,850460.021972656,863679.992675781,880049.987792969,839190.002441406,843880.004882813,846940.002441406,829679.992675781,800960.021972656,749710.021972656,0.0,0.0,0.0
4218,Germany,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445782.522,405548.198,381195.651,370755.702,354525.56,352281.356,336109.886,327903.14,312281.72,328060.821,334852.105,326117.311,328387.184,330268.355,315967.055,329509.286,334448.735,311654.663,279557.412,306465.858,301618.084,309597.476,316190.742,308387.366,308486.375,298574.474,0.0,0.0,0.0,0.0,0.0,0.0
4223,Germany,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333623.66,336696.606,340667.967,335226.139,336263.9,346692.848,340917.323,339773.219,324423.157,316880.138,326883.714,312322.057,304452.675,295292.509,288149.193,288790.918,254926.173,274702.304,259440.25,262982.572,252417.945,252436.28,258710.517,250800.798,253774.735,252344.605,0.0,0.0,0.0,0.0,0.0,0.0
4224,Germany,CO2 emissions (kt),EN.ATM.CO2E.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955310.0,932550.0,892820.0,887060.0,875900.0,874660.0,904340.0,872650.0,865250.0,833590.0,830280.0,847680.0,833380.004882813,836789.978027344,821070.007324219,802380.004882813,814409.973144531,783799.987792969,789690.002441406,734809.997558594,773070.007324219,746479.98046875,760130.004882813,776150.024414063,736010.009765625,742309.997558594,747150.024414063,732200.012207031,707700.012207031,657400.024414063,0.0,0.0,0.0
4227,Germany,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132276.024,130255.507,136815.77,140141.739,154135.011,172374.669,164783.979,166573.475,164893.989,164567.626,173126.404,173082.4,173779.13,174490.528,178146.527,181615.509,175198.259,176727.398,166577.142,173845.136,159397.156,159910.536,167427.886,145147.194,149224.898,161080.309,0.0,0.0,0.0,0.0,0.0,0.0
